# This file was generated automatically from the data of the 
# models of the accelerators in the pymodels repository by the 
# function: 
#    siriuspy.optics.lattice_survey.generate_model_static_table.
#
# If any model change, please, run the script
# again and copy the generated file to replace this one.


#Magnets data 
#-----------


# Storage Ring (SI)
#---------------------------------------------------------
#Name                 Position @ center [m]
#---------------------------------------------------------
SI-06C2:MA-FCH             141.8012      
SI-06C2:MA-FCV             141.8012      
SI-06C2:MA-QS              141.8012      
SI-06BC:MA-BC              142.5572      
SI-06C3:MA-Q4              144.0052      
SI-06C3:MA-CH              144.4402      
SI-06C3:MA-CV-1            144.4402      
SI-06C3:MA-SFP2            144.4402      
SI-06C3:MA-FCH             144.6132      
SI-06C3:MA-FCV             144.6132      
SI-06C3:MA-Q3              144.8452      
SI-06C3:MA-CV-2            145.1902      
SI-06C3:MA-QS              145.1902      
SI-06C3:MA-SDP3            145.1902      
SI-06C3:MA-B2              146.3407      
SI-06C4:MA-SDP2            147.3712      
SI-06C4:MA-Q2              147.7162      
SI-06C4:MA-SFP1            148.1212      
SI-06C4:MA-Q1              148.5562      
SI-06C4:MA-CH              148.9012      
SI-06C4:MA-CV              148.9012      
SI-06C4:MA-SDP1            148.9012      
SI-06C4:MA-B1              150.0002      
SI-07M1:MA-QDP1            150.7542      
SI-07M1:MA-QS              151.0492      
SI-07M1:MA-SDP0            151.0492      
SI-07M1:MA-QFP             151.5142      
SI-07M1:MA-CH              151.8892      
SI-07M1:MA-CV              151.8892      
SI-07M1:MA-SFP0            151.8892      
SI-07M1:MA-FCH             152.0552      
SI-07M1:MA-FCV             152.0552      
SI-07M1:MA-QDP2            152.2192      
SI-07M2:MA-QDP2            158.8147      
SI-07M2:MA-FCH             158.9787      
SI-07M2:MA-FCV             158.9787      
SI-07M2:MA-CH              159.1447      
SI-07M2:MA-CV              159.1447      
SI-07M2:MA-SFP0            159.1447      
SI-07M2:MA-QFP             159.5197      
SI-07M2:MA-QS              159.9847      
SI-07M2:MA-SDP0            159.9847      
SI-07M2:MA-QDP1            160.2797      
SI-07C1:MA-B1              161.0337      
SI-07C1:MA-CH              162.1327      
SI-07C1:MA-CV              162.1327      
SI-07C1:MA-SDP1            162.1327      
SI-07C1:MA-Q1              162.4777      
SI-07C1:MA-SFP1            162.9127      
SI-07C1:MA-Q2              163.3177      
SI-07C1:MA-QS              163.6627      
SI-07C1:MA-SDP2            163.6627      
SI-07C2:MA-B2              164.6932      
SI-07C2:MA-CV-1            165.8437      
SI-07C2:MA-SDP3            165.8437      
SI-07C2:MA-Q3              166.1887      
SI-07C2:MA-CH              166.5937      
SI-07C2:MA-SFP2            166.5937      
SI-07C2:MA-Q4              167.0287      
SI-07C2:MA-CV-2            167.4037      
SI-07C2:MA-FCH             167.7207      
SI-07C2:MA-FCV             167.7207      
SI-07C2:MA-QS              167.7207      
SI-07BC:MA-BC              168.4767      
SI-07C3:MA-Q4              169.9247      
SI-07C3:MA-CH              170.3597      
SI-07C3:MA-CV-1            170.3597      
SI-07C3:MA-SFB2            170.3597      
SI-07C3:MA-FCH             170.5327      
SI-07C3:MA-FCV             170.5327      
SI-07C3:MA-Q3              170.7647      
SI-07C3:MA-CV-2            171.1097      
SI-07C3:MA-QS              171.1097      
SI-07C3:MA-SDB3            171.1097      
SI-07C3:MA-B2              172.2602      
SI-07C4:MA-SDB2            173.2907      
SI-07C4:MA-Q2              173.6357      
SI-07C4:MA-SFB1            174.0407      
SI-07C4:MA-Q1              174.4757      
SI-07C4:MA-CH              174.8207      
SI-07C4:MA-CV              174.8207      
SI-07C4:MA-SDB1            174.8207      
SI-07C4:MA-B1              175.9197      
SI-08M1:MA-QDB1            176.6737      
SI-08M1:MA-QS              176.9687      
SI-08M1:MA-SDB0            176.9687      
SI-08M1:MA-QFB             177.4337      
SI-08M1:MA-CH              177.8087      
SI-08M1:MA-CV              177.8087      
SI-08M1:MA-SFB0            177.8087      
SI-08M1:MA-FCH             177.9747      
SI-08M1:MA-FCV             177.9747      
SI-08M1:MA-QDB2            178.1387      
SI-08M2:MA-QDB2            184.7342      
SI-08M2:MA-FCH             184.8982      
SI-08M2:MA-FCV             184.8982      
SI-08M2:MA-CH              185.0642      
SI-08M2:MA-CV              185.0642      
SI-08M2:MA-SFB0            185.0642      
SI-08M2:MA-QFB             185.4392      
SI-08M2:MA-QS              185.9042      
SI-08M2:MA-SDB0            185.9042      
SI-08M2:MA-QDB1            186.1992      
SI-08C1:MA-B1              186.9532      
SI-08C1:MA-CH              188.0522      
SI-08C1:MA-CV              188.0522      
SI-08C1:MA-SDB1            188.0522      
SI-08C1:MA-Q1              188.3972      
SI-08C1:MA-SFB1            188.8322      
SI-08C1:MA-Q2              189.2372      
SI-08C1:MA-QS              189.5822      
SI-08C1:MA-SDB2            189.5822      
SI-08C2:MA-B2              190.6127      
SI-08C2:MA-CV-1            191.7632      
SI-08C2:MA-SDB3            191.7632      
SI-08C2:MA-Q3              192.1082      
SI-08C2:MA-CH              192.5132      
SI-08C2:MA-SFB2            192.5132      
SI-08C2:MA-Q4              192.9482      
SI-08C2:MA-CV-2            193.3232      
SI-08C2:MA-FCH             193.6402      
SI-08C2:MA-FCV             193.6402      
SI-08C2:MA-QS              193.6402      
SI-08BC:MA-BC              194.3962      
SI-08C3:MA-Q4              195.8442      
SI-08C3:MA-CH              196.2792      
SI-08C3:MA-CV-1            196.2792      
SI-08C3:MA-SFA2            196.2792      
SI-08C3:MA-FCH             196.4522      
SI-08C3:MA-FCV             196.4522      
SI-08C3:MA-Q3              196.6842      
SI-08C3:MA-CV-2            197.0292      
SI-08C3:MA-QS              197.0292      
SI-08C3:MA-SDA3            197.0292      
SI-08C3:MA-B2              198.1797      
SI-08C4:MA-SDA2            199.2102      
SI-08C4:MA-Q2              199.5552      
SI-08C4:MA-SFA1            199.9602      
SI-08C4:MA-Q1              200.3952      
SI-08C4:MA-CH              200.7402      
SI-08C4:MA-CV              200.7402      
SI-08C4:MA-SDA1            200.7402      
SI-08C4:MA-B1              201.8392      
SI-09M1:MA-QDA             202.5932      
SI-09M1:MA-CH              202.8882      
SI-09M1:MA-CV              202.8882      
SI-09M1:MA-SDA0            202.8882      
SI-09M1:MA-FCH             203.0792      
SI-09M1:MA-FCV             203.0792      
SI-09M1:MA-QFA             203.3032      
SI-09M1:MA-QS              203.6282      
