# HEADER
# ======
# label             si-sextupole-s15-sfb0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 +5.4115e-06 +1.9144e-06  +1.1697e-04 +1.4267e-04  -2.4107e+00 -1.5730e-03  +7.2904e-02 -2.7968e-02  -1.1805e+01 +8.9304e+00  +7.7179e+01 +8.3253e+01  -2.8051e+04 -9.1212e+03  -1.4084e+05 -4.0878e+05  -5.2270e+08 -8.6120e+07  -5.6414e+09 +3.4771e+09  -6.6950e+10 -1.1269e+10  +5.9932e+12 -1.4461e+14  -1.1981e+15 -4.7592e+15  -4.9939e+15 +7.2621e+16  -3.4385e+20 +7.9537e+17  
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
